2026-02-15T07:22:50.462Z === Discovery run started 2026-02-15T07:22:50.462Z ===
2026-02-15T07:22:50.463Z [INFO] Discovery run date: 2026-02-15
2026-02-15T07:22:50.463Z [INFO] Using First Nations input file: data/first_nations_input.txt
2026-02-15T07:22:50.984Z [INFO] Fetching municipalities seed page: https://www.amo.on.ca/about-us/municipal-101/ontario-municipalities
2026-02-15T07:22:51.209Z [INFO] Municipality candidates extracted: 442
2026-02-15T07:24:31.037Z [INFO] Municipality seed finalized: 442
2026-02-15T07:24:31.039Z [INFO] Loaded First Nations input names: 0
2026-02-15T07:24:31.040Z [INFO] Combined org seed size: 442
2026-02-15T07:24:33.191Z [INFO] municipality:City of Brantford => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:33.214Z [INFO] municipality:City of Barrie => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:33.276Z [INFO] municipality:City of Belleville => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:33.295Z [INFO] municipality:City of Burlington => jobs_source_type=ats_workday, confidence=1.0
2026-02-15T07:24:35.395Z [INFO] municipality:City of Cambridge => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:35.468Z [INFO] municipality:City of Cornwall => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:35.514Z [INFO] municipality:City of Chatham-Kent => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:36.494Z [INFO] municipality:City of Dryden => jobs_source_type=ats_workday, confidence=1.0
2026-02-15T07:24:37.541Z [INFO] municipality:City of Brampton => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:39.617Z [INFO] municipality:City of Hamilton => jobs_source_type=ats_bamboohr, confidence=1.0
2026-02-15T07:24:39.633Z [INFO] municipality:City of Elliot Lake => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:40.757Z [INFO] municipality:City of Kawartha Lakes => jobs_source_type=ats_taleo, confidence=1.0
2026-02-15T07:24:42.791Z [INFO] municipality:City of Kenora => jobs_source_type=ats_bamboohr, confidence=1.0
2026-02-15T07:24:42.810Z [INFO] municipality:City of Kingston => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:44.146Z [INFO] municipality:City of Kitchener => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:44.869Z [INFO] municipality:City of London => jobs_source_type=html_list, confidence=0.8
2026-02-15T07:24:46.426Z [INFO] municipality:City of Markham => jobs_source_type=unknown, confidence=0.5
2026-02-15T07:24:48.899Z [INFO] municipality:City of Niagara Falls => jobs_source_type=ats_workday, confidence=1.0
